,weight,n_prot,chi,eRMSD
0,7.853642897840662e-06,1.0,-1.050246,1.054092
1,1.578588713209666e-05,1.0,-1.043169,1.175289
2,2.1262784654020068e-07,1.0,-0.292339,1.103215
3,1.2716137601491694e-07,1.0,-0.155172,1.130084
4,5.902290704371426e-08,1.0,-0.016830,1.108039
5,3.047925802086093e-07,1.0,-0.294728,1.133058
6,4.8249492350759676e-11,0.0,0.189235,1.167084
7,6.571471918795427e-08,1.0,0.295219,1.057387
8,4.193291289619833e-07,1.0,0.552226,1.017804
9,5.440719305591836e-06,1.0,0.531285,1.168857
10,2.8864058140927926e-06,1.0,0.706651,1.087152
11,3.7734541779302985e-06,1.0,0.971632,1.012325
12,1.249695072257902e-06,1.0,0.609770,1.084797
13,1.7508598615659857e-06,1.0,0.638310,1.089141
14,1.4434790642804525e-06,1.0,0.523402,1.121738
15,2.8479533965552424e-06,1.0,0.752486,1.070571
16,1.1332793625452043e-06,1.0,0.685007,0.997699
17,1.9705199963065202e-05,1.0,1.135222,1.101990
18,2.8050584303415523e-06,1.0,0.802283,1.047448
19,4.996081449946609e-06,1.0,1.031638,1.037388
20,2.4318944248337676e-06,1.0,1.241786,1.016134
21,1.9981981536669992e-06,1.0,0.778983,1.006198
22,1.5575741284246086e-06,1.0,1.297694,1.003565
23,4.037344712869171e-06,1.0,0.958055,1.023330
24,1.3510844325994947e-06,1.0,0.735986,0.966082
25,1.2889142524478367e-09,0.0,1.162898,1.024684
26,2.884472621218455e-06,1.0,0.871534,1.001475
27,1.3621117799174617e-06,1.0,1.378167,1.016377
28,1.2244183775211408e-06,1.0,1.448280,1.025325
29,4.440570924461791e-06,1.0,1.088022,1.029718
30,6.798647534304893e-06,1.0,1.039541,1.057706
31,1.7896103739050905e-05,1.0,1.118226,1.098278
32,1.1392172885110246e-06,1.0,1.467620,1.025348
33,2.181780152624878e-06,1.0,0.785317,1.024287
34,1.5301195276190282e-06,1.0,1.227795,0.982483
35,1.15305763064681e-06,1.0,1.365968,1.004516
36,3.242213135086205e-06,1.0,1.192049,1.023344
37,2.7480396703308882e-06,1.0,0.823258,1.031312
38,1.183159722517762e-06,1.0,1.456789,1.025230
39,8.126046982532081e-07,1.0,1.261081,0.955991
40,2.342143305675511e-06,1.0,1.271749,1.021082
41,3.8093025982801705e-06,1.0,1.082387,1.016093
42,1.2781321182316615e-06,1.0,0.719200,0.970569
43,9.487595360872449e-07,1.0,1.395798,1.001411
44,2.0823007109249496e-06,1.0,1.164174,0.984931
45,2.776848328311934e-07,1.0,1.438057,0.944303
46,3.229778874363301e-07,1.0,1.245918,0.909848
47,7.71025312367622e-07,1.0,1.243497,0.948856
